RAhms	DEdms	Vmag	Plx	B-V
04 37 42.00	-11 02 18.3	10.34	  90.23	 1.505
01 52 48.64	-22 26 05.5	 8.89	  90.17	 1.424
11 49 03.88	+14 34 20.4	 2.14	  90.16	 0.090
18 09 37.65	+38 27 32.1	 6.38	  90.11	 0.876
00 39 22.09	+21 15 04.9	 5.88	  90.03	 0.850
18 58 00.25	+05 54 39.9	 9.22	  90.02	 1.444
15 56 26.99	+15 39 53.0	 3.85	  89.92	 0.478
08 43 18.26	-38 52 59.5	 6.58	  89.78	 0.917
14 31 01.40	-12 17 42.5	11.92	  89.76	 1.591
17 05 14.32	-05 05 29.3	10.08	  89.70	 1.476
09 51 06.68	-43 30 05.9	 7.67	  89.67	 1.156
04 53 31.07	-55 51 37.8	10.73	  89.47	 1.580
09 35 40.03	+35 48 38.8	 5.40	  89.45	 0.770
19 20 34.96	-07 39 58.6	12.28	  89.08	 0.070
13 16 50.67	+17 01 04.1	 6.49	  89.07	 0.926
02 44 11.69	+49 13 43.2	 4.10	  89.03	 0.514
01 43 20.43	+04 19 24.7	10.93	  88.86	 1.525
14 15 40.35	+19 11 14.2	-0.05	  88.85	 1.239
13 54 41.12	+18 23 54.9	 2.68	  88.17	 0.580
18 41 59.24	+31 49 49.7	11.27	  88.14	 1.579
09 41 10.76	+13 12 35.7	10.38	  88.06	 1.490
05 36 30.99	+11 19 40.8	 8.78	  87.90	 1.415
15 21 52.88	+20 58 38.8	10.66	  87.79	 2.100
13 45 50.90	-17 58 00.8	11.81	  87.73	 1.542
23 39 37.11	-72 43 13.3	 7.09	  87.72	 0.989
06 07 43.86	-25 44 39.7	11.87	  87.64	 1.600
07 31 57.88	+36 13 11.7	10.52	  87.61	 1.439
19 45 49.47	+32 23 11.9	10.61	  87.57	
13 00 46.95	+12 22 32.7	 9.76	  87.50	 1.448
22 11 29.89	+18 25 32.7	10.25	  87.42	 1.465
09 55 23.93	-27 15 39.4	12.04	  87.26	 1.635
04 29 00.17	+21 55 20.2	 8.30	  87.17	 1.363
07 31 57.51	+36 13 49.6	11.82	  87.15	 1.567
07 34 28.07	+62 56 30.3	10.40	  87.01	 0.942
00 05 10.16	+45 47 13.0	 9.95	  86.98	 1.472
02 52 20.88	-63 40 52.9	11.36	  86.91	 1.549
02 34 22.52	-43 47 44.3	 8.89	  86.87	 1.390
05 05 47.41	-57 33 14.8	 8.98	  86.76	 1.386
09 42 52.87	+70 02 24.2	11.19	  86.69	 1.488
14 53 24.04	+19 09 08.2	 6.00	  86.69	 0.841
18 55 27.36	+08 24 09.6	10.10	  86.27	 1.539
05 05 30.69	-57 28 22.8	 4.71	  85.83	 0.526
11 02 38.25	+21 58 02.2	 9.57	  85.76	 1.437
15 00 55.38	+45 25 31.1	 9.15	  85.48	 1.427
09 42 35.99	+70 02 04.3	10.56	  85.14	 1.463
00 05 40.28	+45 48 44.8	 8.20	  85.10	 1.410
15 46 26.75	+07 21 11.7	 4.42	  85.08	 0.604
22 07 00.47	+25 20 42.2	 3.77	  85.06	 0.435
14 13 12.50	-56 44 33.0	10.20	  85.02	 1.500
04 30 12.52	+05 17 54.7	 9.83	  84.76	 0.600
20 02 34.83	-50 03 06.4	 8.69	  84.75	 1.124
20 02 35.85	-50 02 57.8	 9.92	  84.75	
21 47 02.29	-16 07 35.6	 2.85	  84.58	 0.180
12 41 40.00	-01 26 58.3	 2.74	  84.53	 0.368
14 19 05.36	-59 22 37.4	 6.66	  84.50	 1.017
21 59 33.68	-59 45 09.0	 9.74	  84.26	 1.479
02 22 14.46	+47 52 47.7	 9.40	  83.93	 1.466
11 11 04.77	+30 26 47.4	 8.31	  83.85	 1.255
00 50 33.12	+24 49 00.6	12.01	  83.20	
01 59 23.16	+58 31 17.8	12.21	  83.20	 1.540
17 11 34.59	+38 26 34.3	11.54	  83.13	
17 19 54.35	+26 30 00.0	11.26	  83.01	 1.628
03 18 11.14	-62 30 28.6	 5.24	  82.79	 0.600
16 28 27.80	-70 05 04.8	 4.90	  82.61	 0.555
20 42 18.70	-52 41 48.0	 8.83	  82.57	 1.324
04 52 05.64	+06 28 38.3	11.94	  82.52	 1.590
03 17 44.47	-62 34 36.8	 5.53	  82.51	 0.641
21 09 17.00	-13 17 51.6	10.87	  82.33	 1.490
08 32 52.26	-31 30 09.7	 6.38	  82.15	 0.780
05 41 20.33	+53 28 56.4	 6.21	  81.69	 0.840
15 55 08.81	-63 25 47.1	 2.83	  81.24	 0.315
10 12 04.39	-02 40 59.8	10.64	  81.23	 1.566
07 16 19.80	+27 08 34.7	10.83	  81.05	 1.520
17 19 52.49	+41 42 57.0	11.37	  80.98	 1.560
04 53 49.73	-17 46 18.7	10.90	  80.89	 1.547
02 13 53.10	-32 02 23.8	10.31	  80.79	 1.479
00 02 09.65	+27 05 04.2	 5.80	  80.63	 0.690
05 41 30.73	+53 29 27.8	 9.78	  80.13	 1.473
10 25 11.25	-10 13 44.4	10.15	  80.07	 1.459
20 45 03.74	+44 29 54.3	10.79	  80.01	 1.491
11 41 03.01	-44 24 20.8	 7.77	  79.91	 1.064
08 52 36.13	+28 19 53.0	 5.96	  79.80	 0.869
11 16 02.89	-57 33 01.9	11.66	  79.71	 1.490
07 28 45.18	-03 17 46.4	11.47	  79.65	 1.486
17 10 59.39	-52 30 57.2	10.05	  79.53	 1.457
08 18 23.78	-12 37 47.2	 5.95	  79.48	 0.754
03 27 52.07	-19 48 18.8	 8.39	  79.26	 1.337
18 57 30.60	-55 59 26.9	 8.86	  79.14	 1.433
01 41 46.52	+42 36 49.7	 4.96	  79.09	 0.618
05 19 08.08	+40 06 02.4	 4.69	  79.08	 0.630
02 18 58.65	-25 56 48.4	 6.33	  78.88	 0.724
09 29 55.12	+05 39 17.5	 7.20	  78.87	 1.002
18 38 44.68	-14 29 21.0	11.28	  78.52	 1.556
05 12 42.05	+19 39 54.3	10.82	  78.50	 1.550
15 03 47.68	+47 39 14.5	 4.83	  78.39	 0.647
05 32 14.76	+09 49 16.8	11.55	  78.30	 1.637
12 11 11.89	-19 57 36.5	11.67	  78.14	 1.558
17 25 00.90	+67 18 24.1	 6.44	  78.14	 0.759
22 33 01.91	+09 22 39.5	10.36	  78.07	 1.501
08 31 37.72	+19 23 40.2	11.90	  78.05	 1.850
16 23 33.78	-39 13 46.2	11.01	  78.04	-0.165
05 54 04.30	-60 01 24.0	 7.17	  77.95	 0.935
10 30 37.76	+55 58 50.2	 4.82	  77.82	 0.541
19 23 38.93	-39 11 21.0	12.39	  77.71	
16 24 01.24	-39 11 34.8	 5.37	  77.69	 0.625
11 24 40.94	-61 38 51.9	 7.22	  77.58	 1.271
12 00 44.37	-10 26 41.4	 5.54	  77.48	 0.760
05 16 41.30	+45 59 56.5	 0.08	  77.29	 0.795
18 12 21.29	-43 26 37.8	 8.38	  77.18	 1.297
05 28 26.28	-03 29 51.4	 7.65	  77.03	 1.113
18 38 53.45	-21 03 05.4	 5.85	  77.02	 0.673
12 23 32.83	+67 11 19.0	11.19	  77.01	
13 45 04.80	+17 47 23.6	 9.79	  76.70	 1.420
15 41 14.70	+75 59 40.7	12.22	  76.57	 1.650
06 39 38.05	-55 36 34.9	 9.80	  76.47	 1.377
04 15 56.14	-53 18 38.8	 7.64	  76.46	 1.115
02 50 09.85	-53 08 24.7	10.72	  76.45	 1.510
00 58 27.08	-27 51 22.7	11.77	  76.32	 1.558
07 35 21.99	+54 50 58.9	11.36	  76.31	 1.591
20 02 47.10	+03 19 33.2	 7.46	  76.26	 1.128
23 24 30.58	+57 51 18.0	10.03	  76.23	 1.465
13 51 01.44	+23 45 49.1	13.31	  76.20	
21 38 00.07	+27 43 26.1	 9.83	  76.07	 1.495
11 21 26.55	-20 27 12.6	 8.57	  76.00	 1.340
13 19 33.32	+35 06 43.4	 9.48	  75.96	 1.470
18 31 19.05	-18 54 30.0	 6.81	  75.71	 0.861
13 39 24.14	+46 11 08.0	10.24	  75.43	 1.368
04 47 36.21	-16 56 05.5	 5.49	  75.10	 0.632
08 42 44.40	+09 33 29.7	 9.62	  74.95	 1.400
19 46 23.61	+32 01 04.8	 9.74	  74.90	 1.517
03 35 00.58	-48 25 11.6	 8.57	  74.86	 1.310
22 22 16.39	-54 33 40.3	 8.98	  74.75	 1.329
12 31 16.18	+08 48 42.7	 9.74	  74.58	 1.441
14 33 29.05	+52 54 29.5	 7.24	  74.50	 0.997
01 43 41.25	+63 49 29.3	 8.42	  74.45	 1.202
21 49 11.13	-41 33 28.3	11.52	  74.42	 1.570
03 16 13.34	+58 10 05.4	10.53	  74.29	 1.430
01 36 47.98	+41 24 23.0	 4.10	  74.25	 0.536
09 32 52.33	+51 40 43.0	 3.17	  74.15	 0.475
04 41 19.00	+20 54 07.7	 8.09	  74.13	 1.092
17 07 07.78	+21 33 14.7	11.61	  73.94	 1.560
09 31 56.48	+36 19 17.4	10.19	  73.88	 1.475
22 40 43.13	-29 40 28.0	 7.83	  73.85	 1.143
12 28 57.96	+08 25 34.1	11.99	  73.77	 1.668
17 57 50.98	+46 35 14.1	11.79	  73.75	 1.560
05 59 37.74	+58 35 37.1	10.25	  73.58	 1.480
22 18 15.18	-53 37 31.9	 5.36	  73.47	 0.614
13 49 04.28	+26 58 48.5	 7.05	  73.25	 1.110
20 57 24.87	+22 21 47.7	11.98	  73.24	 1.533
09 51 08.96	-12 19 34.7	10.04	  73.10	 1.446
17 10 10.27	-60 43 48.7	 7.38	  73.07	 0.889
05 45 47.90	+62 14 19.3	 9.02	  73.04	 1.379
04 08 37.03	+33 38 12.2	10.18	  73.01	 1.495
00 06 36.53	+29 01 19.0	 6.07	  72.98	 0.752
19 55 18.77	+06 24 28.6	 3.71	  72.95	 0.855
03 36 52.52	+00 24 10.2	 4.29	  72.89	 0.575
03 21 20.41	+79 57 59.6	11.21	  72.80	 1.590
10 16 46.20	-11 57 37.1	10.99	  72.79	 1.506
16 13 49.49	-57 34 01.5	 7.53	  72.75	 0.815
13 32 44.44	+16 48 41.0	11.38	  72.66	 1.540
23 39 56.82	+05 37 38.5	 4.13	  72.51	 0.507
23 39 20.98	+77 37 55.1	 3.21	  72.50	 1.031
21 01 58.78	-06 19 03.6	11.23	  72.37	 1.527
10 45 16.71	-30 48 24.9	11.22	  72.19	 1.503
18 59 07.33	-48 16 23.8	11.13	  72.07	 1.446
22 12 35.88	+08 33 17.5	11.99	  71.97	 1.553
08 36 27.06	+67 17 41.8	 9.28	  71.96	 1.417
15 59 53.26	-08 15 11.3	10.49	  71.84	 1.497
23 32 49.19	-16 50 42.4	 8.59	  71.70	 1.290
11 30 42.03	-08 05 45.2	11.98	  71.64	 1.548
02 35 53.15	+20 13 12.8	10.68	  71.60	 1.470
02 19 09.06	-36 46 45.9	11.59	  71.56	 1.510
02 45 05.98	-18 34 21.5	 4.47	  71.56	 0.481
23 34 03.91	+00 10 54.1	11.16	  71.56	 1.454
22 50 19.49	-07 05 25.3	 9.86	  71.43	 1.452
13 51 59.62	+49 57 04.5	 8.82	  71.39	 1.317
05 03 22.63	+53 07 55.9	 9.96	  71.35	 1.389
16 15 37.13	-08 22 05.7	 5.49	  71.30	 0.652
03 43 55.15	-19 06 40.6	 7.10	  71.17	 0.927
10 59 28.22	+40 25 48.4	 5.03	  71.04	 0.624
00 53 00.72	-30 21 25.2	 7.15	  71.01	 0.936
17 34 59.25	+61 52 33.0	 5.23	  70.98	 0.602
17 35 34.16	+61 40 58.1	 9.98	  70.95	 1.456
10 45 21.51	+38 30 41.1	 9.16	  70.87	 1.416
03 12 04.28	-28 59 20.8	 3.80	  70.86	 0.543
18 47 27.33	-03 38 21.0	 8.81	  70.80	 1.295
07 48 15.48	+20 22 13.9	11.46	  70.74	 1.510
13 28 20.99	-02 21 32.8	11.23	  70.62	 1.539
09 43 55.99	+26 58 09.3	12.08	  70.59	 1.542
21 03 14.33	-56 57 51.4	12.88	  70.51	 1.653
13 49 45.91	-22 06 35.6	 8.16	  70.49	 1.257
07 39 59.29	-03 35 48.6	 7.18	  70.44	 0.891
19 54 17.82	-23 56 24.3	 6.22	  70.34	 1.017
22 51 53.18	+31 45 15.6	11.66	  70.30	 1.500
02 52 06.43	+34 23 30.3	 9.60	  70.19	 1.315
02 16 40.73	-30 59 20.4	12.02	  70.16	 1.583
08 39 11.74	+65 01 14.5	 5.63	  70.07	 0.618
14 29 30.34	+15 31 46.1	10.67	  70.06	 1.471
12 41 06.41	+15 22 39.3	 7.91	  69.94	 1.109
07 36 07.06	-03 06 36.6	 9.87	  69.85	 1.455
17 34 56.00	+12 33 38.1	 2.08	  69.84	 0.155
13 09 59.55	+17 31 44.8	 4.32	  69.81	 0.455
