Name	magMax	magMin	P
M31 V0504   	21.90	22.700	  10.96900000
M31 V0505   	20.90	22.500	  25.70700000
M31 V0507   	19.00	19.900	  58.20000000
M31 V0508   	20.60	22.400	  22.97800000
M31 V0510   	20.70	22.400	  13.12290000
M31 V0511   	21.40	22.600	  20.60200000
M31 V0512   	20.80	22.200	  10.95100000
M31 V0515   	20.90	21.500	  15.15200000
M31 V0516   	21.70	22.400	   7.13800000
M31 V0518   	21.80	22.900	   5.06791000
M31 V0520   	20.80	22.400	  11.53400000
M31 V0521   	21.60	22.800	   4.99000000
M31 V0525   	20.20	21.800	  23.97000000
M31 V0526   	21.70	22.500	   4.68600000
M31 V0527   	21.60	22.800	  25.85000000
M31 V0531   	20.30	21.700	  11.70000000
M31 V0535   	21.80	22.500	   5.45600000
M31 V0537   	21.70	22.600	   6.47500000
M31 V0538   	20.20	21.500	  14.13000000
M31 V0541   	21.90	22.900	   4.63500000
M31 V0542   	21.10	22.600	  18.57000000
M31 V0543   	19.30	20.500	  35.13000000
M31 V0545   	21.70	22.200	   8.57600000
M31 V0546   	21.00	22.900	  25.15100000
M31 V0548   	21.40	22.900	  11.08600000
M31 V0549   	20.70	22.100	  12.83400000
M31 V0551   	21.30	22.200	   5.66723000
M31 V0553   	21.90	22.400	   4.63685000
M31 V0554   	20.20	22.000	  14.97300000
M31 V0556   	19.80	20.800	  52.65000000
M31 V0557   	21.80	22.400	   4.96568000
M31 V0558   	21.70	22.500	   5.60400000
M31 V0560   	21.20	22.400	  10.97100000
M31 V0563   	21.60	22.400	   7.84300000
M31 V0566   	22.10	22.900	  11.01865000
M31 V0568   	21.60	22.700	   5.93675000
M31 V0570   	21.20	22.300	  12.54425000
M31 V0574   	20.80	21.800	   7.70137000
M31 V0577   	19.20	20.900	  23.30700000
M31 V0578   	20.60	22.600	  32.22850000
M31 V0579   	21.50	22.200	  10.24650000
M31 V0582   	21.20	22.100	   7.69231000
M31 V0585   	21.80	22.600	   4.60000000
M31 V0586   	19.70	21.700	  17.52732000
M31 V0589   	21.60	22.900	  13.83100000
M31 V0591   	20.80	22.400	  28.75000000
M31 V0594   	21.50	22.400	  11.58200000
M31 V0601   	22.10	22.800	   7.01014000
M31 V0606   	20.80	22.400	  14.39900000
M31 V0612   	21.60	22.600	   5.99700000
M31 V0613   	20.20	22.000	  14.62000000
M31 V0619   	19.00	21.100	  31.38400000
M31 V0624   	22.10	23.100	   4.76634000
M31 V0627   	21.70	22.700	   4.96800000
M31 V0631   	21.90	22.400	   7.35456000
M31 V0632   	20.80	22.500	  26.28727000
M31 V0633   	22.00	23.100	   5.86500000
M31 V0634   	21.80	22.400	  10.50440000
M31 V0637   	22.00	22.300	   8.00000000
M31 V0640   	22.00	22.800	   6.47900000
M31 V0643   	20.70	21.900	  28.16100000
M31 V0651   	21.80	22.400	   6.87897000
M31 V0654   	21.10	22.500	  32.48000000
M31 V0656   	21.30	22.600	  11.65180000
M31 V0658   	20.90	21.800	  10.94550000
M31 V0659   	20.80	22.100	  18.18279000
M31 V0660   	20.70	21.800	  13.99530000
M31 V0662   	21.20	22.500	  25.63000000
M31 V0667   	20.40	21.300	  28.10000000
M31 V0669   	20.40	21.500	  21.77260000
M31 V0670   	21.30	21.900	   8.31250000
M31 V0671   	19.90	21.200	  42.31000000
M31 V0672   	22.20	22.900	   9.07900000
M31 V0696   	20.60	22.000	  14.34700000
M31 V0704   	21.90	22.600	   4.64000000
M31 V0708   	20.00	22.000	  16.70600000
M31 V0710   	21.40	22.600	   5.52900000
M31 V0712   	21.20	22.000	   7.65700000
M31 V0722   	21.40	22.400	   7.89300000
M31 V0724   	21.70	22.500	  12.27700000
M31 V0731   	20.10	21.800	  44.88300000
M31 V0734   	21.90	22.700	   8.31900000
M31 V0743   	20.70	22.100	  11.79900000
M31 V0770   	19.50	21.200	  46.93700000
M31 V0779   	20.20	22.100	  27.24100000
M31 V0789   	20.70	22.100	  20.19000000
M31 V0811   	20.20	21.600	  20.60000000
M31 V0825   	19.60	20.200	  75.48700000
M31 V0837   	20.00	21.200	  22.82300000
M31 V0840   	19.80	21.400	  18.77200000
M31 V0843   	20.70	21.900	   7.39000000
M31 V0862   	19.80	21.900	  27.02600000
M31 V0870   	20.40	22.100	  18.52500000
M31 V0920   	21.30	22.500	  21.19100000
M31 V0934   	20.20	21.600	  17.76400000
M31 V0951   	19.50	21.600	  41.12000000
M31 V1089   	20.00	22.000	  17.63200000
M31 V1091   	19.50	21.200	  20.09000000
M31 V1094   	18.60	20.200	  45.05000000
M31 V1095   	18.70	21.000	  32.56000000
M31 V1101   	19.50	21.400	  22.23000000
M31 V1104   	20.10	21.800	  22.22500000
M31 V1107   	20.30	21.700	  21.72600000
M31 V1188   	20.00	21.000	  30.97000000

