GVhel	mag	l_mag	Type
  6978	17.3	>	Ia
126000	22.5	>	Ia
  9000	19.1	>	Ia
  9022	16.5	>	Ia
  7838	16.6	>	Ia
  7254	16.6	>	Ia
 12814	16.9	>	Ia
  6986	16.2	>	Ia
 16788	18.5	>	Ia
  7919	16.3	>	Ia
  1271	13.8	=	Ia
 10248	17.0	>	Ia
  2895	14.1	>	Ia
 17988	17.9	>	Ia
  5197	17.4	>	Ia
 11138	16.9	>	Ia
 19786	18.5	>	Ia
  3101	16.4	>	Ia
  4647	16.9	>	Ia
  6663	17.1	>	Ia
  8953	15.9	>	Ia
 90537	22.3	>	Ia
  2845	14.2	=	Ia
  4728	15.2	=	Ia
  6992	17.3	>	Ia
  1271	16.6	>	Ia
  7184	17.6	=	Ia
 10859	16.0	=	Ia
284803	24.2	>	Ia
  8429	16.0	>	Ia
  8598	17.1	>	Ia
  2794	16.4	>	Ia
  7547	19.6	>	Ia
  4761	15.4	>	Ia
  3489	15.1	=	Ia
  6610	17.0	>	Ia
  7100	18.8	>	Ia
  8255	17.6	>	Ia
 11976	17.5	>	Ia
  7188	16.2	>	Ia
  5388	16.4	>	Ia
  6985	17.0	>	Ia
 26382	19.4	>	Ia
  2569	14.6	=	Ia
  8217	16.5	>	Ia
 11280	17.4	>	Ia
 12891	17.6	>	Ia
263817	24.2	>	Ia
 83342	23.4	>	Ia
 17138	18.3	>	Ia
  2135	13.1	=	Ia
 77946	21.9	>	Ia
 11392	17.4	>	Ia
 22484	18.1	>	Ia
 22185	18.9	>	Ia
  3001	14.1	>	Ia
 25782	19.3	>	Ia
 32977	20.0	>	Ia
273411	24.1	>	Ia
 62956	21.3	>	Ia
153193	23.3	>	Ia
146898	22.3	>	Ia
 13078	19.8	>	Ia
 70751	21.3	>	Ia
 53031	21.2	>	Ia
 26981	21.8	>	Ia
 98932	21.4	>	Ia
110923	21.7	>	Ia
 74948	20.6	>	Ia
 23983	19.0	>	Ia
  4211	14.5	=	Ia
 26981	18.7	>	Ia
 10493	18.0	>	Ia
  2080	16.3	>	Ia
  8994	16.3	=	Ia
  7023	18.6	>	Ia
 21585	18.5	>	Ia
 20385	18.1	>	Ia
 19786	17.8	>	Ia
 89338	21.2	>	Ia
 48866	20.5	>	Ia
 59958	21.5	>	Ia
 29979	21.3	>	Ia
 58160	21.2	>	Ia
 35975	20.0	>	Ia
 74948	20.9	>	Ia
 74948	21.4	>	Ia
 83941	21.4	>	Ia
 77946	21.4	>	Ia
 32716	18.9	>	Ia
 59958	20.9	>	Ia
149896	21.3	>	Ia
119916	22.1	>	Ia
 89937	22.2	>	Ia
 59958	21.4	>	Ia
149896	23.1	>	Ia
 89937	22.0	>	Ia
 23683	17.8	>	Ia
  4493	15.8	=	Ia
  2751	16.3	>	Ia
149896	21.9	>	Ia
119917	22.7	>	Ia
119917	22.9	>	Ia
149896	22.6	>	Ia
 89938	21.6	>	Ia
119917	22.8	>	Ia
  5876	15.4	=	Ia
  5786	16.0	>	Ia
 26981	19.0	>	Ia
181674	23.9	>	Ia
170881	23.4	>	Ia
 70751	21.0	>	Ia
 98032	20.5	>	Ia
 41971	19.7	>	Ia
 35975	18.1	>	Ia
